# Constraint-filtered scan universe. Generated by constraint_layer.py.
# Built 2026-09-12T15:35:06+00:00 from bhavcopy 2026-09-11.
# Filters: mcap>=1000cr, turnover>=5.0cr/day (median of 60 sessions), series==EQ, not ASM/GSM.
# TODAY-ONLY. Not valid as a historical backtest universe.
INE040A01034,HDFCBANK.NS
INE090A01021,ICICIBANK.NS
INE002A01018,RELIANCE.NS
INE118H01025,BSE.NS
INE397D01024,BHARTIARTL.NS
INE009A01021,INFY.NS
INE062A01020,SBIN.NS
INE758T01015,ETERNAL.NS
INE467B01029,TCS.NS
INE296A01032,BAJFINANCE.NS
INE238A01034,AXISBANK.NS
INE101A01026,M&M.NS
INE303R01014,KALYANKJIL.NS
INE745G01043,MCX.NS
INE0NT901020,NETWEB.NS
INE935N01020,DIXON.NS
INE018A01030,LT.NS
INE237A01036,KOTAKBANK.NS
INE585B01010,MARUTI.NS
INE669E01016,IDEA.NS
INE982J01020,PAYTM.NS
INE0LEZ01016,ATHERENERG.NS
INE0HOQ01053,GROWW.NS
INE019C01026,HSCL.NS
INE081A01020,TATASTEEL.NS
INE038A01020,HINDALCO.NS
INE721A01047,SHRIRAMFIN.NS
INE591G01025,COFORGE.NS
INE1CDF01017,VAML.NS
INE263A01024,BEL.NS
INE814H01029,ADANIPOWER.NS
INE423A01024,ADANIENT.NS
INE00H001014,SWIGGY.NS
INE200A01026,GVT&D.NS
INE860A01027,HCLTECH.NS
INE257A01026,BHEL.NS
INE154A01025,ITC.NS
INE669C01036,TECHM.NS
INE066A01021,EICHERMOT.NS
INE07Y701011,POWERINDIA.NS
INE646L01027,INDIGO.NS
INE931S01010,ADANIENSOL.NS
INE918Z01012,KAYNES.NS
INE494B01023,TVSMOTOR.NS
INE066F01020,HAL.NS
INE742F01042,ADANIPORTS.NS
INE0IX101010,DATAPATTNS.NS
INE044A01036,SUNPHARMA.NS
INE361B01024,DIVISLAB.NS
INE917I01010,BAJAJ-AUTO.NS
INE947Q01028,LAURUSLABS.NS
INE1TAE01010,TMCV.NS
INE205A01025,VEDL.NS
INE158A01026,HEROMOTOCO.NS
INE733E01010,NTPC.NS
INE364U01010,ADANIGREEN.NS
INE280A01028,TITAN.NS
INE956O01016,LENSKART.NS
INE881D01027,OFSS.NS
INE455K01017,POLYCAB.NS
INE213A01029,ONGC.NS
INE262H01021,PERSISTENT.NS
INE0VDM01015,MEESHO.NS
INE531E01026,HINDCOPPER.NS
INE481G01011,ULTRACEMCO.NS
INE067A01029,CGPOWER.NS
INE155A01022,TMPV.NS
INE114A01011,SAIL.NS
INE414G01012,MUTHOOTFIN.NS
INE208A01029,ASHOKLEY.NS
INE134E01011,PFC.NS
INE030A01027,HINDUNILVR.NS
INE239A01024,NESTLEIND.NS
INE758E01017,JIOFIN.NS
INE437A01024,APOLLOHOSP.NS
INE256A01028,ZEEL.NS
INE040H01021,SUZLON.NS
INE139A01034,NATIONALUM.NS
INE849A01020,TRENT.NS
INE267A01025,HINDZINC.NS
INE200M01039,VBL.NS
INE522F01014,COALINDIA.NS
INE752E01010,POWERGRID.NS
INE047A01021,GRASIM.NS
INE15B701018,PINELABS.NS
INE121A01024,CHOLAFIN.NS
INE039A01010,IFCI.NS
INE298A01020,CUMMINSIND.NS
INE028A01039,BANKBARODA.NS
INE372A01015,APARINDS.NS
INE271C01023,DLF.NS
INE692A01016,UNIONBANK.NS
INE089A01031,DRREDDY.NS
INE775A01035,MOTHERSON.NS
INE476A01022,CANBK.NS
INE670K01029,LODHA.NS
INE094A01015,HINDPETRO.NS
